GEONAME,Distance
"Congressional District 10 (118th Congress), Ohio",240.72858160176992
"Congressional District 2 (118th Congress), Ohio",241.76039791496044
"Congressional District 15 (118th Congress), Ohio",242.50734009509898
"Congressional District 8 (118th Congress), Pennsylvania",242.61391139009322
"Congressional District 15 (118th Congress), Florida",242.74754375688335
"Congressional District 2 (118th Congress), Idaho",242.8659300931277
"Congressional District 7 (118th Congress), Pennsylvania",243.18914449456827
"Congressional District 3 (118th Congress), Kentucky",243.32554325429953
"Congressional District (at Large) (118th Congress), Delaware",243.33016664606137
"Congressional District 4 (118th Congress), Indiana",243.34516637895234
"Congressional District 9 (118th Congress), Ohio",243.55235576770758
"Congressional District 38 (118th Congress), Texas",243.71733627298653
"Congressional District 13 (118th Congress), Ohio",243.79189896302952
"Congressional District 9 (118th Congress), Arizona",243.9734001894469
"Congressional District 22 (118th Congress), California",244.11890545387917
"Congressional District 17 (118th Congress), Illinois",244.13436873983966
"Congressional District 12 (118th Congress), Florida",244.21789451225723
"Congressional District 10 (118th Congress), Texas",244.31727323298284
"Congressional District 8 (118th Congress), Arizona",244.65819013472654
"Congressional District 8 (118th Congress), Florida",244.69601549677918
"Congressional District 1 (118th Congress), New Mexico",245.1020603748569
"Congressional District 31 (118th Congress), Texas",245.49830956648154
"Congressional District 1 (118th Congress), Maryland",246.40696012897038
"Congressional District 7 (118th Congress), Florida",246.5482102956742
"Congressional District 4 (118th Congress), Virginia",246.5862121044078
"Congressional District 1 (118th Congress), Michigan",246.78002350271385
"Congressional District 19 (118th Congress), New York",246.83695023233454
"Congressional District 4 (118th Congress), Michigan",247.05887962184238
"Congressional District 3 (118th Congress), Michigan",247.17463462094972
"Congressional District 24 (118th Congress), New York",247.1907967542481
"Congressional District 6 (118th Congress), Arizona",247.21504808566974
"Congressional District 7 (118th Congress), Indiana",247.38419512976168
"Congressional District 1 (118th Congress), South Carolina",247.80191686102833
"Congressional District 4 (118th Congress), Iowa",247.95146702530315
"Congressional District 10 (118th Congress), Pennsylvania",248.05434888346545
"Congressional District 6 (118th Congress), Maryland",248.33563981031799
"Congressional District 16 (118th Congress), Florida",248.83653268762606
"Congressional District 21 (118th Congress), New York",248.84770442983796
"Congressional District 7 (118th Congress), Ohio",249.40324777356048
"Congressional District 1 (118th Congress), Massachusetts",249.5269123762004
"Congressional District 14 (118th Congress), North Carolina",250.16428602020713
"Congressional District 10 (118th Congress), Michigan",250.23383064645756
"Congressional District 7 (118th Congress), Minnesota",250.29486610795675
"Congressional District 3 (118th Congress), Virginia",250.29768276993696
"Congressional District 11 (118th Congress), Pennsylvania",250.3048341522792
"Congressional District 5 (118th Congress), Florida",250.40850624529511
